"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"182",1932,-0.098936170212766,-0.04,-0.0408163265306122,-0.110671936758893,-0.125,NA,NA
"183",1933,0.0543093270365998,0.0416666666666667,0.0921985815602837,0.0488888888888889,0,NA,NA
"184",1934,0.0895856662933931,0.12,0.051948051948052,0.0946327683615819,0.142857142857143,NA,NA
"185",1935,0.0554984583761562,0.0714285714285714,0.0864197530864197,0.0464516129032258,0.125,NA,NA
"186",1936,0.100292112950341,0.133333333333333,0.0909090909090909,0.101109741060419,0.222222222222222,NA,NA
"187",1937,0.0699115044247788,0.117647058823529,0.140625,0.0537513997760358,0,NA,NA
"188",1938,-0.0554177005789909,-0.0263157894736842,-0.0228310502283105,-0.0648246546227418,0.0909090909090909,NA,NA
"189",1939,0.0437828371278459,0.027027027027027,0.0373831775700935,0.0431818181818182,0.0833333333333333,NA,NA
"190",1940,0.0897651006711409,0.105263157894737,0.0315315315315315,0.107843137254902,-0.153846153846154,NA,NA
"191",1941,0.0269438029253272,0,0.0305676855895196,0.0255653883972468,0.0909090909090909,NA,NA
"192",1942,0.00599700149925037,0.0714285714285714,-0.0593220338983051,0.0191754554170662,-0.0833333333333333,NA,NA
"193",1943,0.0365126676602086,0.111111111111111,0.0765765765765766,0.0272812793979304,-0.0909090909090909,NA,NA
"194",1944,-0.00575125808770669,0.08,0.150627615062762,-0.0412087912087912,-0.3,NA,NA
"195",1945,-0.161243673174259,0.0925925925925926,0,-0.216809933142311,0,NA,NA
"196",1946,0.0672413793103448,0.0338983050847458,0.0618181818181818,0.0670731707317073,0.428571428571429,NA,NA
"197",1947,0.124394184168013,0.0983606557377049,0.102739726027397,0.133714285714286,0.2,NA,NA
"198",1948,0.055316091954023,0.134328358208955,0.130434782608696,0.0231854838709677,0.166666666666667,NA,NA
"199",1949,-0.0340367597004765,0.0657894736842105,-0.00549450549450549,-0.0541871921182266,0.142857142857143,NA,NA
"200",1950,0.148696264975335,0.197530864197531,0.168508287292818,0.114583333333333,0.125,Inf,NA
"201",1951,0.0840490797546012,0.185567010309278,0.132387706855792,0.0551401869158879,0.111111111111111,0.0434782608695652,0.0615384615384614
"202",1952,0.0158460667798529,0.0782608695652174,0.0521920668058455,-0.00885739592559787,0.1,0.0833333333333333,0
"203",1953,0.0256267409470752,0.0564516129032258,0.0575396825396825,0.00536193029490617,0.0909090909090909,0.0384615384615385,0
"204",1954,0.0130363932645301,0.0534351145038168,0.0450281425891182,-0.008,0.125,0,0
"205",1955,0.0949061662198391,0.0869565217391304,0.122082585278276,0.0824372759856631,0.111111111111111,0.148148148148148,0.0724637681159421
"206",1956,0.0661116552399608,0.0733333333333333,0.0864,0.0538079470198675,0.0666666666666667,0.032258064516129,0.0540540540540541
"207",1957,0.0427193385392742,0.105590062111801,0.0515463917525773,0.02827965435978,0.0625,0.09375,0.0128205128205128
"208",1958,0.026431718061674,0.0786516853932584,0.0238095238095238,0.0206264323911383,0.0588235294117647,0,0.0126582278481013
"209",1959,0.0532188841201717,0.0729166666666667,0.079343365253078,0.0344311377245509,0.111111111111111,0.0285714285714286,0.0374999999999999
"210",1960,0.0468622656886716,0.101941747572816,0.0760456273764259,0.020260492040521,0.075,0.0833333333333333,0.0240963855421687
"211",1961,0.00428182172051382,0.0572687224669604,0.0647820965842167,-0.0432624113475177,0.0465116279069767,0.0769230769230769,-0.011764705882353
"212",1962,0.0410852713178295,0.0958333333333333,0.084070796460177,0.00148257968865827,0.0888888888888889,0.0476190476190476,0.0238095238095238
"213",1963,0.0547282204020849,0.0874524714828897,0.073469387755102,0.0333086602516654,0.0408163265306122,0.0681818181818182,0.0348837209302326
"214",1964,0.0571831980232969,0.104895104895105,0.0807984790874525,0.0279369627507163,0.117647058823529,0.0851063829787234,0.0337078651685394
"215",1965,0.0450751252086811,0.0664556962025316,0.0721196130167106,0.0174216027874564,0.0350877192982456,0.0784313725490196,0.0217391304347825
"216",1966,0.0504792332268371,0.0801186943620178,0.0853158326497129,0.0123287671232877,0.0677966101694915,0.0909090909090909,0.0319148936170213
"217",1967,0.0319343065693431,0.0769230769230769,0.0755857898715042,-0.020297699594046,0.0317460317460317,0.1,0.0103092783505155
